OBJECTID,MESH,Latitude,Longitude,Reference,cs137_inve,landuse_co
17,5640_6571_4_4,37.89895800000,140.64843800000,2011/7/2,95180.89844000000,110
15,5640_6544_4_3,37.87395800000,140.68281300000,2011/7/2,74810.53906000000,60
11,5640_5643_1_2,37.78437500000,140.79218800000,2011/7/2,202163.37500000000,100
7,5540_5047_4_3,37.12395800000,140.09531300000,2011/7/2,125358.44530000000,110
3164,5540_3598_3_3,36.99895800000,140.72656300000,2011/7/2,44902.54688000000,10
3181,5540_3599_3_4,36.99895800000,140.74218800000,2011/7/2,42006.12891000000,10
3037,5540_3590_3_4,36.99895800000,140.62968800000,2011/7/2,46217.57422000000,70
3034,5540_3590_3_1,36.99687500000,140.62656300000,2011/7/2,43087.45313000000,20
3038,5540_3590_4_1,36.99687500000,140.63281300000,2011/7/2,44711.65234000000,10
3103,5540_3594_4_2,36.99687500000,140.68593800000,2011/7/2,40378.25391000000,20
3183,5540_3599_4_2,36.99687500000,140.74843800000,2011/7/2,39668.44922000000,60
3050,5540_3591_3_1,36.99687500000,140.63906300000,2011/7/2,47916.28125000000,10
3167,5540_3598_4_2,36.99687500000,140.73593800000,2011/7/2,44720.05078000000,70
3169,5540_3598_4_4,36.99895800000,140.73593800000,2011/7/2,44068.03906000000,70
1569,5540_3498_4_4,36.99895800000,140.61093800000,2011/7/2,53698.29297000000,10
1578,5540_3499_3_1,36.99687500000,140.61406300000,2011/7/2,47167.55859000000,10
3163,5540_3598_3_2,36.99687500000,140.72968800000,2011/7/2,45053.98438000000,110
3165,5540_3598_3_4,36.99895800000,140.72968800000,2011/7/2,44249.03906000000,50
3166,5540_3598_4_1,36.99687500000,140.73281300000,2011/7/2,45119.29297000000,50
3168,5540_3598_4_3,36.99895800000,140.73281300000,2011/7/2,44490.85547000000,50
1536,5540_3496_2_4,36.99479200000,140.58593800000,2011/7/2,62663.24219000000,10
1573,5540_3499_1_4,36.99479200000,140.61718800000,2011/7/2,41221.07813000000,20
3097,5540_3594_2_4,36.99479200000,140.68593800000,2011/7/2,41230.14063000000,20
3156,5540_3598_1_3,36.99479200000,140.72656300000,2011/7/2,46030.69141000000,10
3161,5540_3598_2_4,36.99479200000,140.73593800000,2011/7/2,43611.22656000000,20
3173,5540_3599_1_4,36.99479200000,140.74218800000,2011/7/2,43137.24609000000,10
1560,5540_3498_2_3,36.99479200000,140.60781300000,2011/7/2,55531.93750000000,10
3094,5540_3594_2_1,36.99270800000,140.68281300000,2011/7/2,42020.56641000000,10
3158,5540_3598_2_1,36.99270800000,140.73281300000,2011/7/2,42917.80078000000,110
1538,5540_3497_1_1,36.99270800000,140.58906300000,2011/7/2,66022.25000000000,10
1571,5540_3499_1_2,36.99270800000,140.61718800000,2011/7/2,38336.79297000000,10
3058,5540_3592_1_1,36.99270800000,140.65156300000,2011/7/2,49858.53906000000,60
3059,5540_3592_1_2,36.99270800000,140.65468800000,2011/7/2,49900.31641000000,60
3127,5540_3596_2_2,36.99270800000,140.71093800000,2011/7/2,54912.96094000000,10
3159,5540_3598_2_2,36.99270800000,140.73593800000,2011/7/2,42908.83203000000,10
3160,5540_3598_2_3,36.99479200000,140.73281300000,2011/7/2,43795.44531000000,10
1526,5540_3489_3_4,36.99062500000,140.61718800000,2011/7/2,33898.96875000000,70
2940,5540_3584_3_3,36.99062500000,140.67656300000,2011/7/2,46184.10547000000,60
2977,5540_3586_4_4,36.99062500000,140.71093800000,2011/7/2,45989.35156000000,10
3004,5540_3588_3_3,36.99062500000,140.72656300000,2011/7/2,47453.05859000000,10
3005,5540_3588_3_4,36.99062500000,140.72968800000,2011/7/2,46404.12891000000,10
3155,5540_3598_1_2,36.99270800000,140.72968800000,2011/7/2,45077.39844000000,10
3157,5540_3598_1_4,36.99479200000,140.72968800000,2011/7/2,44997.27344000000,10
1529,5540_3489_4_3,36.99062500000,140.62031300000,2011/7/2,27085.52539000000,60
3008,5540_3588_4_3,36.99062500000,140.73281300000,2011/7/2,44230.08594000000,70
1466,5540_3485_4_4,36.99062500000,140.57343800000,2011/7/2,59918.64844000000,60
1477,5540_3486_3_3,36.99062500000,140.57656300000,2011/7/2,59472.79688000000,60
1476,5540_3486_3_2,36.98854200000,140.57968800000,2011/7/2,61472.50000000000,10
1479,5540_3486_4_1,36.98854200000,140.58281300000,2011/7/2,63223.78125000000,10
1481,5540_3486_4_3,36.99062500000,140.58281300000,2011/7/2,62152.41406000000,10
2880,5540_3580_4_3,36.99062500000,140.63281300000,2011/7/2,43289.23047000000,60
3030,5540_3590_2_1,36.99270800000,140.63281300000,2011/7/2,43442.50391000000,60
3032,5540_3590_2_3,36.99479200000,140.63281300000,2011/7/2,43870.05469000000,60
2970,5540_3586_3_1,36.98854200000,140.70156300000,2011/7/2,42955.39453000000,10
1492,5540_3487_3_2,36.98854200000,140.59218800000,2011/7/2,70122.18750000000,10
1495,5540_3487_4_1,36.98854200000,140.59531300000,2011/7/2,69738.25000000000,10
2907,5540_3582_3_2,36.98854200000,140.65468800000,2011/7/2,50426.73828000000,20
2912,5540_3582_4_3,36.99062500000,140.65781300000,2011/7/2,49940.19141000000,20
2913,5540_3582_4_4,36.99062500000,140.66093800000,2011/7/2,48958.97656000000,20
