メッシュコード,latitude,longitude,都道府県,市区町村,測定日時,radiation
5540_6789_47,37.236958,140.997130,福島県,双葉郡広野町,2016-08-22 09:01,1.0E-01
5640_0408_56,37.337590,140.608380,福島県,田村郡小野町,2016-08-22 09:10,1.4E-01
5640_4587_22,37.735350,140.715580,福島県,相馬郡飯舘村,2016-08-22 09:11,8.9E-01
5640_4597_61,37.746952,140.714190,福島県,相馬郡飯舘村,2016-08-22 09:11,3.3E-01
5640_4596_69,37.747063,140.712160,福島県,相馬郡飯舘村,2016-08-22 09:11,9.6E-01
5640_4576_96,37.732670,140.708710,福島県,相馬郡飯舘村,2016-08-22 09:12,1.1E+00
5640_5518_79,37.764750,140.736310,福島県,相馬市,2016-08-22 09:14,3.5E-01
5640_4585_28,37.735820,140.698040,福島県,相馬郡飯舘村,2016-08-22 09:16,4.3E-01
5541_6080_84,37.240140,141.006230,福島県,双葉郡広野町,2016-08-22 09:16,1.2E-01
5740_0684_72,38.072807,140.803020,宮城県,柴田郡柴田町,2016-08-22 09:17,9.2E-02
5640_5468_81,37.807290,140.601750,福島県,伊達市,2016-08-22 09:17,1.3E-01
5540_7498_57,37.329926,140.609440,福島県,田村郡小野町,2016-08-22 09:20,1.2E-01
5540_5165_35,37.136020,140.194760,福島県,西白河郡西郷村,2016-08-22 09:23,9.4E-02
5640_2362_53,37.554745,140.404700,福島県,二本松市,2016-08-22 09:24,1.3E-01
5640_2342_85,37.540028,140.406480,福島県,安達郡大玉村,2016-08-22 09:27,1.6E-01
5540_6540_60,37.205690,140.625640,福島県,いわき市,2016-08-22 09:29,8.8E-02
5640_5477_36,37.811626,140.595720,福島県,伊達市,2016-08-22 09:32,3.1E-01
5540_7499_30,37.327686,140.612630,福島県,田村郡小野町,2016-08-22 09:34,1.4E-01
5541_6090_25,37.243885,141.006290,福島県,双葉郡楢葉町,2016-08-22 09:34,2.7E-01
5640_7488_57,37.987910,140.609220,宮城県,白石市,2016-08-22 09:36,1.1E-01
5640_4565_60,37.722275,140.688060,福島県,相馬郡飯舘村,2016-08-22 09:36,4.4E-01
5640_4555_92,37.716488,140.691120,福島県,相馬郡飯舘村,2016-08-22 09:39,3.0E-01
